"cruise"	"ship"	"ship_code"	"sample_number"	"time_UTC"	"latitude_degrees_north"	"longitude_degrees_east"	"start_temperature_degC"	"start_salinity_psu"	"start_wind_speed_knots"	"start_wind_direction_degrees"	"start_pump_speed_M3PerMin"	"stop_time_UTC"	"stop_latitude_degrees_north"	"stop_longitude_degrees_east"	"stop_temperature_degC"	"stop_salinity_psu"	"stop_wind_speed_knots"	"stop_wind_direction_degrees"	"stop_pump_speed_m3PerMin"	"sardine_eggs_count"	"anchovy_eggs_count"	"jack_mackerel_eggs_count"	"hake_eggs_count"	"squid_eggs_count"	"other_fish_eggs_count"	"comments"	"resorted"	"DateTime"	"YYYY"	"MM"	"DateEdit"	"AnchSard"	"Sard"	"Anch"	"SardAnch"
"1"	199707	"DAVID STARR JORDAN"	"JD"	1	1997-07-01 19:59:17	32.9366	-117.3331	NA	NA	10.43	293.9747	0.64	1997-07-01 20:19:16	32.9157	-117.388	NA	NA	8.77	290.4377	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-01 19:59:17	1997	"07"	"1997-07-01"	38441	0	0	0
"2"	199802	"DAVID STARR JORDAN"	"JD"	1	1998-01-24 00:47:06	32.9004	-117.4012	18.054	33.985	12.01	297.4639	0.64	1998-01-24 00:59:34	32.8877	-117.4366	18	33.954	12.62	311.4125	0.64	0	0	NA	0	0	0	NA	"t"	1998-01-24 00:47:06	1998	"01"	"1998-01-24"	38441	0	0	0
"3"	199803	"DAVID STARR JORDAN"	"JD"	1	1998-02-19 18:29:42	32.6917	-117.3251	16.524	33.172	5.71	120.055	0.64	1998-02-19 18:59:33	32.7469	-117.3904	16.399	33.434	4.45	142.6446	0.64	90	3	0	0	0	2	NA	"t"	1998-02-19 18:29:42	1998	"02"	"1998-02-19"	38441	90	3	46.5
"4"	199804	"DAVID STARR JORDAN"	"JD"	1	1998-04-03 00:20:17	32.9389	-117.3185	16.347	32.741	6.8	284.5186	0.64	1998-04-03 00:30:03	32.9296	-117.3443	16.527	32.781	6.87	302.7697	0.64	0	0	0	0	0	0	"Start pattern"	"t"	1998-04-03 00:20:17	1998	"04"	"1998-04-03"	38441	0	0	0
"5"	199805	"DAVID STARR JORDAN"	"JD"	1	1998-05-01 16:28:05	32.6961	-117.3855	17.575	33.493	1.26	133.2578	0.64	1998-05-01 17:00:01	32.7364	-117.4735	17.555	33.572	2.87	78.3529	0.64	0	0	NA	0	1	0	"1 se"	"t"	1998-05-01 16:28:05	1998	"05"	"1998-05-01"	38441	0	0	0
"6"	199806	"DAVID STARR JORDAN"	"JD"	1	1998-06-11 03:36:08	37.5746	-123.0914	14.63	31.753	36.48	306.3483	0.64	1998-06-11 03:52:02	37.5345	-123.0677	14.561	31.715	33.22	309.8798	0.64	0	0	0	0	NA	0	NA	"t"	1998-06-11 03:36:08	1998	"06"	"1998-06-11"	38441	0	0	0
"7"	199806	"DAVID STARR JORDAN"	"JD"	2	1998-06-13 05:31:32	36.2431	-121.9005	14.406	32.884	6.33	233.7223	0.64	1998-06-13 06:01:29	36.1675	-121.8587	15.331	33.032	5.66	222.839	0.64	0	0	0	0	NA	0	NA	"t"	1998-06-13 05:31:32	1998	"06"	"1998-06-13"	38441	0	0	0
"8"	199805	"DAVID STARR JORDAN"	"JD"	2	1998-05-01 17:00:01	32.7364	-117.4735	17.555	33.572	2.87	78.3529	0.64	1998-05-01 17:30:03	32.7757	-117.5595	16.974	33.448	1.65	331.2785	0.64	0	0	NA	0	0	0	"1 larvae"	"t"	1998-05-01 17:00:01	1998	"05"	"1998-05-01"	38441	0	0	0
"9"	199802	"DAVID STARR JORDAN"	"JD"	2	1998-01-24 00:59:34	32.8877	-117.4366	18	33.954	12.62	311.4125	0.64	1998-01-24 01:30:19	32.8501	-117.5253	18.082	33.971	10.73	307.9185	0.64	0	0	NA	0	0	1	NA	"t"	1998-01-24 00:59:34	1998	"01"	"1998-01-24"	38441	0	0	0
"10"	199707	"DAVID STARR JORDAN"	"JD"	2	1997-07-01 22:51:11	32.9111	-117.4106	21.693	33.598	9.47	297.4517	0.64	1997-07-01 23:03:22	32.8938	-117.4419	21.693	33.598	13.65	297.2902	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-01 22:51:11	1997	"07"	"1997-07-01"	38441	0	0	0
"11"	199803	"DAVID STARR JORDAN"	"JD"	2	1998-02-19 18:59:33	32.7469	-117.3904	16.399	33.434	4.45	142.6446	0.64	1998-02-19 19:29:22	32.8022	-117.4567	16.084	33.41	6.55	280.8793	0.64	16	1	0	0	0	1	NA	"t"	1998-02-19 18:59:33	1998	"02"	"1998-02-19"	38441	16	1	8.5
"12"	199804	"DAVID STARR JORDAN"	"JD"	2	1998-04-03 00:30:03	32.9296	-117.3443	16.527	32.781	6.87	302.7697	0.64	1998-04-03 00:47:04	32.9136	-117.3952	16.433	32.783	8.16	308.6206	0.64	0	0	0	0	0	2	"Arv 93.28"	"t"	1998-04-03 00:30:03	1998	"04"	"1998-04-03"	38441	0	0	0
"13"	199802	"DAVID STARR JORDAN"	"JD"	3	1998-01-24 03:37:32	32.8416	-117.5598	17.97	33.967	12.31	306.4612	0.64	1998-01-24 04:00:10	32.8092	-117.6231	18.046	33.968	12.04	312.8708	0.64	0	0	NA	0	0	0	NA	"t"	1998-01-24 03:37:32	1998	"01"	"1998-01-24"	38441	0	0	0
"14"	199707	"DAVID STARR JORDAN"	"JD"	3	1997-07-02 03:05:24	32.8032	-117.6414	19.796	33.502	6.88	301.3581	0.64	1997-07-02 03:19:12	32.7837	-117.68	19.865	33.486	10.34	291.6687	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 03:05:24	1997	"07"	"1997-07-02"	38441	0	0	0
"15"	199803	"DAVID STARR JORDAN"	"JD"	3	1998-02-19 19:29:22	32.8022	-117.4567	16.084	33.41	6.55	280.8793	0.64	1998-02-19 19:59:49	32.8574	-117.5248	16.555	33.451	5.73	306.312	0.64	70	0	0	0	0	0	NA	"t"	1998-02-19 19:29:22	1998	"02"	"1998-02-19"	38441	70	0	35
"16"	199804	"DAVID STARR JORDAN"	"JD"	3	1998-04-03 04:13:02	32.9033	-117.4004	16.223	32.794	7.93	303.3562	0.64	1998-04-03 04:33:03	32.8819	-117.4484	16.223	32.822	9.85	304.7336	0.64	28	0	0	0	0	1	NA	"t"	1998-04-03 04:13:02	1998	"04"	"1998-04-03"	38441	28	0	14
"17"	199806	"DAVID STARR JORDAN"	"JD"	3	1998-06-13 06:01:29	36.1675	-121.8587	15.331	33.032	5.66	222.839	0.64	1998-06-13 06:31:33	36.1054	-121.8007	16.046	32.962	10.55	223.9146	0.64	0	0	0	0	NA	1	NA	"t"	1998-06-13 06:01:29	1998	"06"	"1998-06-13"	38441	0	0	0
"18"	199805	"DAVID STARR JORDAN"	"JD"	3	1998-05-01 17:30:03	32.7757	-117.5595	16.974	33.448	1.65	331.2785	0.64	1998-05-01 18:00:06	32.8155	-117.6449	17.429	33.473	0.9	333.9471	0.64	0	0	NA	0	0	0	"4 larva"	"t"	1998-05-01 17:30:03	1998	"05"	"1998-05-01"	38441	0	0	0
"19"	199806	"DAVID STARR JORDAN"	"JD"	4	1998-06-13 06:31:33	36.1054	-121.8007	16.046	32.962	10.55	223.9146	0.64	1998-06-13 07:00:20	36.0316	-121.7521	15.124	32.938	12.37	264.0689	0.64	0	0	2	0	NA	0	NA	"t"	1998-06-13 06:31:33	1998	"06"	"1998-06-13"	38441	0	0	0
