"id"	"cruise"	"cruisealias"	"sta_id"	"cruz_sta"	"ship_code"	"order_occ"	"cruz_code"	"st_line"	"st_station"	"lat_deg"	"lat_min"	"lat_hem"	"lon_deg"	"lon_min"	"lon_hem"	"tow_type"	"net_loc"	"end_time"	"tow_date"	"tow_time"	"vol_strm3"	"tow_dpthm"	"ttl_pvolc3"	"sml_pvolc3"	"haulfact"	"DATE"	"YYYY"	"MM"	"DD"	"Date"	"ZooDateTime"	"LAT"	"LATdec"	"LONG"	"LONGdec"
"1"	38886	199707	199707	"093.3 026.7"	19970709330267	"JD"	1	"C"	93.3	NA	32	57.3	"N"	117	18.2	"W"	"CB"	"S"	11:43:00	"07/01/1997"	11:37:00	117.3	56	179	179	4.84	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 11:37:00"	"32 57.3"	"32.955"	"117 18.2"	"-117.303333333333"
"2"	38887	199707	199707	"093.3 026.7"	19970709330267	"JD"	1	"C"	93.3	NA	32	57.3	"N"	117	18.2	"W"	"CB"	"P"	11:43:00	"07/01/1997"	11:37:00	117.3	56	NA	NA	4.84	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 11:37:00"	"32 57.3"	"32.955"	"117 18.2"	"-117.303333333333"
"3"	38888	199707	199707	"093.3 028.0"	19970709330280	"JD"	2	"C"	93.3	28	32	54.8	"N"	117	23.7	"W"	"CB"	"P"	14:36:00	"07/01/1997"	14:15:00	403	212	NA	NA	5.27	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 14:15:00"	"32 54.8"	"32.9133333333333"	"117 23.7"	"-117.395"
"4"	38889	199707	199707	"093.3 028.0"	19970709330280	"JD"	2	"C"	93.3	28	32	54.8	"N"	117	23.7	"W"	"CB"	"S"	14:36:00	"07/01/1997"	14:15:00	403	212	27	27	5.27	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 14:15:00"	"32 54.8"	"32.9133333333333"	"117 23.7"	"-117.395"
"5"	38890	199707	199707	"093.3 030.0"	19970709330300	"JD"	3	"C"	93.3	30	32	50.8	"N"	117	31.9	"W"	"CB"	"S"	18:23:00	"07/01/1997"	18:02:00	405.2	211	25	25	5.22	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 18:02:00"	"32 50.8"	"32.8466666666667"	"117 31.9"	"-117.531666666667"
"6"	38891	199707	199707	"093.3 030.0"	19970709330300	"JD"	3	"C"	93.3	30	32	50.8	"N"	117	31.9	"W"	"CB"	"P"	18:23:00	"07/01/1997"	18:02:00	405.2	211	NA	NA	5.22	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 18:02:00"	"32 50.8"	"32.8466666666667"	"117 31.9"	"-117.531666666667"
"7"	38892	199707	199707	"093.3 035.0"	19970709330350	"JD"	4	"C"	93.3	35	32	40.8	"N"	117	52.4	"W"	"CB"	"P"	22:21:00	"07/01/1997"	22:00:00	386.1	208	NA	NA	5.4	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 22:00:00"	"32 40.8"	"32.68"	"117 52.4"	"-117.873333333333"
"8"	38893	199707	199707	"093.3 035.0"	19970709330350	"JD"	4	"C"	93.3	35	32	40.8	"N"	117	52.4	"W"	"CB"	"S"	22:21:00	"07/01/1997"	22:00:00	386.1	208	130	130	5.4	"07-01-1997"	1997	"07"	1	"1997-07-1"	"1997-07-1 22:00:00"	"32 40.8"	"32.68"	"117 52.4"	"-117.873333333333"
"9"	38894	199707	199707	"093.3 040.0"	19970709330400	"JD"	5	"C"	93.3	40	32	30.8	"N"	118	12.8	"W"	"CB"	"S"	02:21:00	"07/02/1997"	02:00:00	404.7	211	72	72	5.22	"07-02-1997"	1997	"07"	2	"1997-07-2"	"1997-07-2 02:00:00"	"32 30.8"	"32.5133333333333"	"118 12.8"	"-118.213333333333"
"10"	38895	199707	199707	"093.3 040.0"	19970709330400	"JD"	5	"C"	93.3	40	32	30.8	"N"	118	12.8	"W"	"CB"	"P"	02:21:00	"07/02/1997"	02:00:00	404.7	211	NA	NA	5.22	"07-02-1997"	1997	"07"	2	"1997-07-2"	"1997-07-2 02:00:00"	"32 30.8"	"32.5133333333333"	"118 12.8"	"-118.213333333333"
